,low_comment_True
171,별점을 보고 알았다. 그녀가 나타났다는것을!
172,오늘도 쿠키 버리러 온 목돌아간 흑두루미 블랙말랑카우들 얼마나 많은지 확인하러 온 사람 좋아요 눌러라
173,지각은 별로 신경 안쓰지만 동태미오 보니까 속이 거1북해져서 1점 드려야겠네요.. 지난주 베댓이 한복 은주지은 그려달라했던거 같은데 ㅋㅋ 역OOO암커플 오지게 미는 독선봐
174,"오늘의 내용
아 가면교 위치 찾았다
근데 내가 가기 귀찮다

닌자:갔다올게요
찰칵찰칵
안에도 볼까?
두리번두리번
어 x발 함정밟음
으악 전기맞음

안경잽이 등장
안경잽이:너 내 동료가 되라!!"
175,"자 여러분 떡밥이 던져진것 같습니다
반장이 죽었다고 했죠?
근데 왜 살아있을까요?
그건 한지한의 게임능력의 영향을 받아서 그렇습니다
죽은 후에 게임 특성상 부활하게 되있죠 그래서 던전 입장 전의 마을이라고 볼 수 있는 한지한의 집으로 돌아오게 된거구요
이 계기로 한지한은 허상결계 및 대미궁시대 안에서 죽지않을 가능성을 가지게 되었습니다
사실 배댓 가고 십어서 그랬어오
한번만 올려주새오
감사해오"
176,A랭커 4명이 파티맺고 지 목에 칼 들이대러 오는데 지 여친이 어쩌냬 누구 여친이 어쩌냬 수듄..
177,ㅡㅡ 내용이 초당이 쓰는것같내요
178,"여의 재평가 해야한다 
ㅈㄴ게 쎄지, 충성심도 쩔지, 주인도 잘 알아보자너
거기다가 딴딴하고 말이야"
179,작가님 제 점수는 물론 10점입니다 근데 2학년 2반 서열2위가 2방에 깨진 이상 2점을 맞춰야 겠습니다 각오는 하셨죠?
180,??? : 미오씨 고개 드세요 당신 아직 죄인아닙니다
181,보통은 싸움까지나오다가 발릴때 끝나지않나...
182,근데 두 달 덴마 안보면서 깨달은 게 있는데... 덴마 그거 안보면 엄청 힘들줄 알았는데 아무것도 아니더라 ㅇㅇ 솔직히 앞에 장황한 이야기 다 까먹음. 연재 종료하고 멋대로 쫑내든 니 올리고 싶을 때 올리든 맘대로 하셈. 당분간 덴마 잊고 산다  
183,준우가 전부터 태양이 싫었다고 한거에 태양이 살짝 울컥한거같은데
184,ㅋㅋㅋㅋㅋㅋ 1년에걸쳐 주인공 36된걸 한주만에다올리넼ㅋㅋㅋㅋㅋㅋㅋ
185,내년에 학교 간다는 애가 임신한채로 얼굴도장 찍으러가누
186,노아가 언제 보배를 믿었음...? 계속 의심하고 간보다가 이제 확신한거면서 뭘 믿어 믿기는ㅋㅋㅋㅋㅋㅋㅋ
187,월요웹툰 중에 제일 빠르시네요^^
188,팩트)몇시간 전에 태빈이 여친 살해시도한 ㅅㅋ이다.
189,"저 인간쓰레기는 이제야 클로킹이 대웅인지 눈치챘겠네 
은주였으면 레비테이션으로 피했을테고 지은이었으면 타임커터 맞고 즉사했을테니까 ㅋㅋ 
은인이든 누구던 다 죽일 생각으로 공격했으니 이제 속이 시원하심?"
190,팩트는 그냥 욕하던사람들은 소통 안되니까 빠져나갔고 볼 사람들은 보는 중
191,욕은 ㅈㄴ 하는데 조회수는 ㅈㄴ 높아 ㅋㅋ
192,여기서 양영순이 두뇌 풀가동해서 뿔나있는 우리 모두를 납득 시킬 수 있다면 좋겠다.. 일어나기 힘든 일이지만 그랬으면 좋겠어... 덴마를 몇년동안 사랑해왔는데 마무리가 좋았으면...
193,혹시 덴마가 위기에 몰리면 매번 눈물을 흘리는 이유가 저거였나?? 더 이상 발현될 퀑 잠재력이 없는거지...
194,이러다 울트론 만들겟다
195,"독자들이 원하는 주인공들의 해피엔딩 / 
1.지은이가 최후의다이스로 행복해진다. /
2.은주 염원대로 다이스를 소멸시킨다 
이 두개가 공존할 수 없다는 결말이 슬프네"
196,지한 : 반장 너에게 준 힘을 돌려 받겠어~!!!! 넌 다시 평범한 인간이야~!!!!
197,"오늘내용 요약 
푝!포박
불길함을 감지했다.
끗"
198,이 상태로도 그런데 나중에 혹시 미오 살아돌아오면 진짜 개빡칠 듯
199,오랜만에 보는 반장이 너무 반가워 복도로 따라나갔으나 싸늘한 주검으로 남아있었다.
200,역시 네이버 초대고자
201,가이린 결국은 엘 죽을때까지 존버한거였네ㅋㅋㅋㅋㄱㅋ
202,마무리인데 외모지상주의 마무리인줄은 몰랐네
203,보배가 행복했음 좋겠다. 오수는 그냥 솔로가 딱이야
204,처음으로 모든 댓글에 좋아요를 눌러줬다.
205,지한 : 반장!! 내가 준 힘 때문에 고생 했지?  도로 가져갈께!!!
206,이번 한번만 시켜드리는거에요.
207,"지은 : 독자를 붙잡을 사람이 필요하다면... 그 역할, 내가 할게."
208,"오랜만에 보는분들을 위해 용어 설명이나 해볼까요

지금 레이드 뛴다고 모인 사람들은 ""애플"" 이라는 단체입니다 ""실버퀵"" 이라는 회사에서 도망가려고 모이는 비밀결사대입니다.

""엘"" 은 귀족이고 현재 8우주에서 가장 세력이 큰 사람중 한명입니다. ""백전사""라는 퀑 부대를 거느리고 있습니다.

엘과 대립하는 귀족인 ""고산"" 공작은 ""백경대"" 라는 퀑 부대를 거느립니다. 백전사는 백경대에서 나온 부대원이 많습니다.

""가이린"" 은 엘 백작의 애인입니다. 저기 있는 흰머리 아저씨는 ""하아켄""이라 하고 가이린의 아빠입니다. 엘한테 딸이 노리개취급 당하는지 걱정하고있죠.

그리고 처음에 나온 주황머리는 ""덴마"" 라 합니다 제목과 썸네일을 담당하는 엑스트라에요"
209,"은주를 위해 싸우던 동태는 정의롭고 강한 주인공이었고 
지은을 지키려고 싸우던 동태는 약하지만 용감한 주인공이었다.  
허나 미오를 위해 싸우는 동태는 학살극과 배신을 하는 미치광이 싸이고일뿐이다."
210,베플되면 팬카페에 전투씬 그려준다. 이미 콴냉 했었는데. 내가 떠 충족 해드릴게
211,홍석천 보다 안전한 오빠 한지한...
212,따끔하게 혼나기 좋은자세지로
213,그림 작가님은 이작품 빨리 끝내시고 다른 작품하시는기 더 좋은 방향일것 같습니다 글작가 잘못만나서 혹사당하시고 상처 받을실까봐 걱정입니다....
214,솔직히 윤미미 꼬리뼈로 찍을 때 좀 통쾌하긴 했어....
215,남자친구를 10달동안 안만난다???? 이것도 좀... 비현실적..
216,밤 붉은바리의태 개쩌는거같음
217,"그럼 이제부터 암 대신 동태같다, 미오스럽다라고 표현햐죠"
218,"이어서) 빈털터리가 된 그런 동태의 뒤에서 다가오는 지은. 동태미오 커플에게 배신당했던 지은은 가방에 오른손을 숨긴채 다가간다. 인기척을 확인한 동태는 뒤를 돌아보며 나즈막히 누나를 부른다. 
가방에 숨긴 손에서 칼을 꺼내드려는 순간 지은에게 안기는 동태. 동태는 울고불며 자신에겐 남은 사람은 누나밖에 없다고 매달린다. 
그런 동태를 본 지은은 당황하지만 이내 표정이 사그라들고 안쓰러운 눈으로 품 안에 동태를 내려다본다. 한손으론 안아주며 칼을 쥐고있던 손은 어느새 동태 머리를 쓰다듬어 주고있다. 차마 동태를 찌르지 못한다. 마치 자신의 과거처럼 주변인에게 버려진 동태의 처지를 본 지은에겐 동태를 향한 배신감과 증오보다 동질감이 더 느껴졌기 때문이다.  
동태는 미오를 향한 집착이 잘못된 사랑임을 이내 깨닫는다. 동태지은은 다시 파티를 맺는다. 둘이 처음만난 그 때처럼..   
그리고 최종전투는 동태지은/은주요한대웅/무영의 3파전으로 구성된다. //내용 평가점요"
219,유리 조각에 분량도 같이 잘렸네...
220,"롸
이거 아직 휴재하기 전 유료분이니까
그래도 점만 더 지켜봐영 다음주까진 좀 발암일듯 한데 좀만 더 봅시다 휴재 후 연재분을 기대해영 우리"
221,재미없는게아니라 분량이없잖아요... 솔직히 재미가없으면 안볼텐데 재미있으니까 보는거죠 근데 200원에 이분량인게 싫은겁니다..
222,"솔직히 스토리는 겁나 탄탄해서 삼주치 분량 하나로 만들면 명작중의
갓작될듯 그래서 오늘은 1점"
223,친구가 여기오면 좋아요 5개만받아도 베댓된다고했는데 여기는 5명도보러오지않잖아
224,"마지막 루시퍼의 한마디 '염병할' 
꽤 사이다였다"
225,"각보다 막강했던 십진회의 화력....썰려나가는 하데스 클론들....당황한 고산....목이 잘리려는 찰나....

""고산 오빠, 뭐해!""

등장한 것은 아슬린과 백명의 여성 퀑 백경대...
십진회 순식간에 정리 후..
아슬린의 한마디,

""되찾으러 가야지, 원래 우리의 권리""

그리고 씩 웃는, 위풍당당한 백명의 여성 백경대..

- 그 동안 덴마를 사랑해주셔서 감사합니다 -

담당자 공지: <덴마> 후기는 12월 23일 업로드 예정입니다. 양해 부탁드립니다."
226,"다음 화 권시연 대사

1. 크윽...
2. 한지한 너는 왜 여기..!
3  고맙다.

한지한 대사

1. 회전하는 마력 화살~!!~~!~!~!~!~!!
2. 연혼요상결~!~!~~!~~!!!
3. 괜찮아~~~~~"
227,이걸 쿠기 주고 산 내가 흑우다 흑흑
228,전형적인 옛날 순정만화 패턴...무능력한 여주 그 주위에 능력남들 ..음ㅠ
229,담당자님.. 앞으로는 공지 띄우실 때 연도 표기 반드시 부탁드립니다
230,ㅋㅋㅋㅋㅋ 난 존나 재밌는데
231,동까 얼굴 궁금해서 쿠키 구운사람 손~
232,오늘부로 쿠키 그만굽겠습니다. 직설적으로 말하면 ㅈㄴ아깝네요진짜
233,내년에 열릴 2002한일월드컵이 기대가됩니다!
234,죽음은 바람과 같다 고 야소님이 말씀하셨습니다.
235,니가 강해졌다해도 분량은 강해지지않는구나
236,스토리망햇네..
237,청룡 시문이 아닐까요
238,진짜 재미는 인정한다 ㄷㄷ...
239,"제육볶음레시피

1. 고기 재우기 (후추랑 소금간)
2. 소스 만들기 (간장, 고추장, 설탕, 후추, 다진마늘, 참기름, 고춧가루) -> 물엿도 있으면 좋음
3. 고기 굽기
4. 고기 어느정도 익으면 물 약간 넣고 양파랑 같이 볶기
5. 양파 숨 조금 죽으면 소스 넣고 센불에 볶기
6. 기호에 따라 맛 보강하고 땡초넣고 하기"
240,와. 씬커!
241,오늘 생일입니다 배댓해보고싶네요(?)
242,"그냥 보세요, 어머니"
243,작가님 죄송한데 이런 패턴으로 오수찬양하는 거 지겨워요..
244,"진짜 거하게 차여라 어쩌나 보자
진짜 남자에 미친거면
오수 쟨 구제불능인거"
245,조졌다 깜지 3장쓰고 쉬는시간마다 탈모새끼 잔소리 들었다
246,이번화 연출 굉장한 거 같아요. 장면이 끊기지 않고 흐르는 느낌. 웹툰만 할 수 있는 연출.
247,"이렇게 고구마만 잔뜩 먹으려고 구운 쿠키가아닌데..
고구마쿠키였나.."
248,"파쿠르를 하면서 살던 소년 파이가 핫핑크란 소녀와 만나, 만남을 이뤄주는 두 개의 구슬인 핵터구슬을 얻기 위해 핵터를 찾는 모험으로 시작되는 이야기를 그려내고 있다. 본래 한국의 고전웹툰 《씬커》를 모티브로 한 모험 이야기로서 시작하였으나 강한 적들과 만나고 대전하며 성장을 거듭하는 파이의 모습이 큰 호응을 얻으며 본격적인 배틀물로 거듭나게 된다. 그리고 훗날, 전설적인 해킹 웹툰으로 통하게 된다."
249,연재 빡종각 잡았네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
250,최근 화 중에선 이게 제일 괜찮은 것 같네ㅋㅋㅋ
251,진짜 여기에서 제일 불쌍한건 지훈이다..지훈아 너라도 제대로 된 여자 만나서 행복하게 살아
252,"도저히 지은누나 행복해질 방법과 동태 이미지개선 시킬 방법이 안 떠올라서 잠시 수행을 떠나시는듯.. 기다리겠읍니다 파이팅! 
휴재때문에 적적하신분들은 다이스팬카페라도 놀러오세요. 나무위키 다이스항목도 업뎃시켜주시공"
253,근데 솔직히 우기명 만날때 이미 저 의사랑 썸 타고 있었잖아ㅋㅋㅋㅋ  우기명 구질구질한건 나도 싫은데 저 의사새끼는 우기명이 골키퍼일때는 공으로 존나 때려박더니 지가 골키퍼 되니까 폭행하네ㅋㅋㅋㅋㄱㅋㅋㄱㅋㅋㄱㅋㅋ
254,성아는 남친사기면서도 랜챗남자 없어졌다고 다크서클생기네 ㄷㄷ
255,갑자기 주변사람들이 그셋을 공격햇다... 갑작스런 공격이엇지만 시연이와 지한이는 다행히도 살아남앗고 반장은 다행히...아니 아쉽게도 죽어버렷다... 드디어 반장 죽나여
256,다시 살아난게아니라 비서가 죽은거 아닐까요?
257,뿔테 집에서 혼자 헤헤 거리면서 저거 열심히 그렸을거 생각하니 왠지 안쓰럽다..
258,원피스랑 비교하는 순간 게임오버 아닌가
259,가슴..
260,오늘 줄거리 :
261,씬커가 1위였던적이 있었나..요..?
262,"제목이 왜 5kg를 위하여, 인지 까먹는 지경에 왔다.. "
263,오수가 보배보고 도와달라고 한적은 없지만 보배랑 민호랑 가까워지니까 싫은티 내고 화내고 그런적은 있죠.
264,떡밥 나왔다. 반장은 역시 공부지
265,별점은 숫자일뿐이에요 그냥 신경쓰지 맙시다. 댓글보면 사다함 작가님 위로해주는 글들 많던데. 그냥 우리끼리 좋아해주고 위로해주면 되요
266,근데 화장실문앞에서 대화하면 루시퍼가 똥냄새 엄청 맡을텐데..ㄷㄷ
267,작가님 작품 잘보고 있습니다. 부드러운 흐름을 위한 작가님의 노력이 느껴집니다. 하지만 불필요한 장면때문에 스토리가 길어지는것 같습니다. 이런 컷들은 빼버리고 좀더 빠른 전개를 진행되는것이 독자님들의 마음인것 같습니다. 몇주전 작가의 말에서 작가님의 의지를 느꼈던것 같습니다. (준비한게 많다고 하셨나? 기대하고 있습니다)  별점 태러나 비난에도 불구하고 꿋꿋이 그려나가주셔서 감사합니다.
268,"사탄,오딘: ㅋㅋㅋㅋ ㅈㄴ 재미있네 ㅋㅋㅋㅋㅋ"
269,"아직 탈출까진 한참남은듯하다. 우선 덴마와 다이크가 만나야되고, 그 다이크가 하이퍼 한놈 치워야되고, 우리 친구 쓰레기퀑 지로도 얘기 풀어야되고 쩌는 제 8우주의 브로맨스도 진행시켜야되고.. 양형 바쁘시겠네요"
270,진모리가 차력으로 등장하는 그런거는 진짜 없어라 제발
271,"와....
양형이 전하려는 메시지에
또 감동이네요 ㅠㅠ

밑바닥까지 떨어져 스스로 낙인을 찍은 자신을
다시 일으켜 세울 수 있는건 
바로 자기 자신이라는 뜻으로 해석되네요

멋있습니다!
낙오하더라도 꾿꾿하게 자신을 믿고 살겠어요!"
272,성운이네 엄마가 젤 현실인거아님? 공부잘하는아들키웠는데 뜬금애라니 ㅋㅋㅋ
273,막막하다 머리까지 자른 오수 보면서 보배는 얼마나 착잡할까
274,2번째배댓 모솔
275,"역시 감금연재인건가.. 비이겁한 네이버 놈들..
양형 내가 갈게 기다려!"
276,모바일이라 안되는사람 손
277,주인공 일러스트를 2년만에 그려주는 요상한 작가 ㅜㅜ
278,구현화라는게 사물을 다이스화 시켜서 그걸파괴하면 다이스를 얻는듯?
279,이제 기다리면무료까지 생기는거아니냐
280,민호 왜 착한척해? 너도 보배 만날려고 오수 이용해먹었잖아 그리고 니가 한 말 다 너한테도 해당되는거 알지?
281,여주 구두때문에 루시퍼한테 들킬듯;;
282,주인공 개무시당하다가 급반전ㅋㅋㅋㅋ 저파란옷도 글케무시하고 건들다가 갑자기 잘못건들엿데ㅋㅋㅋㅋ. 
283,"작가님..다좋은데 언제까지 이내용인거져..?
힘드신건 아는데 이제는 결말이 긍금합니다"
284,저번주에 타이밍 놓쳐서 다시 씁니다. 많은 사람들 볼 수 있게 도와주세요. 아직도 여러분 200원 내시고 분량으로 한탄하시는데 격기 3반은 챔츠에서 연쟈중인 단향본으로 현재 단행본 3권까지 나왔습니다. 5000원도 안되는 가격에 많은 내용을 볼  수 있어요. 흑백이어도 신경 안 쓰잖아요? 그리고 무엇보다 e북은 300원이에요!!! 300원에 최근 격기 3반 5주치 미리보기보다 훨씬 많은 양을 봅니다. 미리보기 2개도 안되는 가격에 훨씬 많은 양을 볼 수 있어요!!아직도 쿠키구매하시는 분들 진심으로 안타까워서 씁니다. 많은 사람 볼 수 있게 좋아요 눌러주세요..(그래봤자 묻히겠지...
