,low_comment_False
138,"문제 1. 추석 특집이라고 내놓고 미리보기 안하는 사람들은 3주뒤에 추석특집을 본다.
2.독자들 일주일의 기다림을 우습게보는것.
3.겨우 200원이긴하지만 여러사람이 결제하는만큼 돈을 받아가는것 아니냐.
4.만우절때도 똑같이 욕먹어놓고 정신못차렸다."
139,만우절 아니고 부활절인가
140,요즘 웹툰 왜 다 여주는 무능력하고 현실감각없고 남주는 무슨 벤츠를 사람으로 빚어놓은 것마냥 그리냐..
141,진짜 초반에는 오 재밋다 이거 대박인데? 중순부터는 응..재밋네.. 이제는 아뭐야 이거 ㅡㅡ 뭔내용이야 이러고잇네 점점 내용이 산으로 가고있네요 ㅋㅋ
142,차라리 재미라도 없던가 ㅅ.ㅂ.
143,아무리 무규칙이라고 해도 저런게 허용된다고? 만화라 그렇지 실제면 죽거나 불구되겠다. 칼로 찌르는거랑 뭐가달라..
144,적당히 우려먹어라 싸움씬 손제호특 싸움씬만 20~30화 나감
145,애들아 베댓좀보내줘라 기안옆집산다 베댓되면 쿠키값받으러간다
146,"지금 기뻐서 떨고있는거냐...? 


고작 돌아온 양형 때문에??"
147,남주 뭔죄냐 진짜 ㅋㅋㅋㅋㅋ 날벼락 맞은 기분일듯
148,여주가 10달을 끌었던걸 여주엄마가 1초만에 해결해주네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
149,"동태 꼬라지 보고 우승누건 결말에 다다르는 최종장에서 남들은 욕망이라는 주제로 심오한 고뇌를 하는데 
정작 주인공이라는놈이 최종장에서 보여주는게 '여친 구하기'라는거임ㅋㅋㅋ 정말 이런게 주인공이라니 코웃음만 나옴. 아 주인공 은주지은이었지?"
150,한약 먹고 토하는 것도 아니고 버린다고?ㅋㅋㅋㅋ 저건 개념이 없는 거 아냐?
151,동까 얼굴공개도 안하고 평점 어디까지 낮아질지 불안감이 엄습해온다
152,아니 작가님;; 스토리좀 빨리빨리 빼세요 ;1주일기다렸는데 ;;;;
153,제발 이젠 은주가 동태의 혐오스런 이면을 알아봤으면 좋겠다 pk 싫어하는 은주가 사제 학살한 동태를 보고 반가워하는것도 어이 없었는데 이젠 손절할때 됐지
154,동재앙이 아닌 동태가 보고싶다..
155,이번화 전체 컷수가 151컷입니다..... 진정 이게 한회분량의 웹툰 컷수입니까...?
156,오늘 분량 건은 환성아 얼굴 봐서 참는다
157,분량이적다 라고 야소님이말씀하셨습니다.
158,중간에 패비스 실화냐; 검토도안해? 이분량에?
159,흐뭇한광경인거 같은데 이제 남친도 알아야지?
160,...? 좋아하는데 오수핑계로 계속 만난게 아니고 오수랑 이어주려고 만나다가 좋아하게 된거잖아요. 이제 보배 기억 날조까지해서 억지로 쓰레기 만드려하네.
161,다시생각해보니까 바람이엄마가엄청난거였네 봉황을소환하고
162,니가 왜 상처받은 얼굴이야ㅋㅋㅋ표정관리 좀...;
163,옥황 육체가 저 정도면 도대체 현자의 로브는 왜 필요했던거임??
164,Ai 가 제일 사이다네 흥하자 이름 기억 안나는 Ai
165,파이 : ? 왜냐니 내가 주인공이잖아
166,에미야 분량이 짜다
167,반장! 넌 더 뒤로 가있어! 영원히 뒤로 가줘!
168,"아뇨. 저건 그냥 노아와 보배는 친구가 아닌거에요. 오수가 없다면 인연이 끊어질, 그저 오수가 둘 다 같이 다니고 싶어하니까 셋이 다니고 있는 중인 것 뿐이에요. 그래서 오수때문에 싸우고 오수때문에 이어지는거죠. 오수가 민호와 지훈이에게 그러는것처럼 다 손에서 놓고싶어하지 않는 성격이란걸 보여주는거밖에 안되요."
169,누구 지로가 후회한 횟수좀 세어주실분
170,보석금 같은 소리하네. 저게 보석금으로 나올만한 범죄냐?
171,"*상황정리*

메갈페이스북페이지가 삭제되자 페이스북코리아를 고소할려고 티셔츠를 2만원에 판매해서 모금운동을 했는데
그것을 클로져스 성우중 한명이 그것을 사서 SNS에서 메갈인증을 했고, 넥슨은 바로 짤라버림.
그런데 웹툰작가들이 옹호하면서 문제가 불거짐.

해당 작가들
아메리카노 엑소더스 - 박지은 작가 용이산다 - 초 작가 중립디자인구역 - 최남새 작가 여탕보고서 - 마일로 작가 우리들은 푸르다 - 문택수 작가 킬더킹 - 조안나 작가(그림) 동네변호사 조들호 - 해츨링 작가 헬로 미스터 테디 - 아지 작가 투명한 동거 - 정서 작가 나는 너를 보았다 - 모래인간 작가(전작 네이버 좀비를 위한 나라는 없다, 레진 고기인간) (사태파악후 사과)미래소녀 - 황준호 작가(전작 인간의 숲, 악연 등) 영수의 봄 - 이윤희 작가(현재 다음에서 우리집에 왜 왔니 연재중)"
172,아 친구 진짜 짜증나...
173,먼 말도안대는 전개야 그럼 저 뚱근육이 강해효라는이름을 3성의강해효로 알고있어야하는거아닌거? 해리랑 아는사이면
174,그냥 할짓없어서 베댓이나 해볼까하는 애들이 모인게 씬커 톡방아님? 정신 똑디 박힌 애들은 만화만보고 조용히 나간다..
175,코딩하다 이거보니까 빡치네
176,그냥 조안나 몰래 금요웹툰으로 옮기는게 나을듯... 트위터보니까 일주일 내내 쿠키만들고 베이킹하고 아마존에서 책 주문하고 온갖 취미생활은 다 하시던데 그림 그릴 시간은 없으셨나봐요ㅜ
177,다이크 ㅋㅋㅋ 500경대의 머리를 모두 땄는데 의문의 잡퀑행... 솔직히 레전드 아니냐
178,"밸런스뭐이럼.. 1천계신들도인정한 한대위 전성기이상이란 평가  
근데 늙은 옥황이 여우 개갖고놀았는데 지금은 인원때메힘들어한다?? 이게말이되냐;; 제우스 한방에날리고 2천계 다털고난후 사탄이랑싸운얘인데 뭔 집행위원들이 비빔?? ㅋㅋㅋㅋ"
179,아니 개연성이 제론데
180, 얘도 참 문제다 문제야
181,제트 제발 이번엔 죽자
182,"홍오수 인성보소ㅋㅋ
마지막으로 나온다니까 조바심 대놓고 내네ㅋㅋㅋ
지가 갖긴 싫고 남주긴 아깝고
지훈이 이제 안나오려고 하니까 아쉬워하는거 실화냐? 진짜 노답ㄴ ㅋㅋㅋㅋ"
183,그냥 우기명 자살로 끝내자.
184,"않이 탈진으로 쓰러진 사람이 막 깨어났는데 좀 따뜻하게 대해주면 덧나나.. 자기 도운 은인이 절박하게 뛰어와서 쓰러졌는제 걱정부터 해줘야지 다짜고짜 칼 들고 따지고있네.  
동태 심부름 보낸것드 일부러 떨어뜨려 놓은건가.. 저 세계관에 지은이 따뜻하게 대해주는 사람 아무도 없는듯"
185,나 이거 파쿠르 관련 만환줄 알았는데
186,계속 참다 한 번 못참아서 우기 인생 다시 내려가네ㅋㅋㅋㅋㅋㅋㅋ 이제 오디션도 짤릴거고 원호네 회사랑도 일도 못하겠네ㅋㅋㅋㅋㅋㅋ 근데 저 의사 시키도 우기랑 봉지 사귈때도 봉지 꼬셨으면서 우기 모르다고 갑질 엄청하네! 거기다 봉지 이 놈은 우기가 엄청 잘해줬는데 아니라고 이빨이나 까고 개때리고싶다 봉지!
187,초심을 찾으랬지 언제 유아기로 돌아가랬냐 둘중하나 완벽히 끝내고 이어가던가 형 일본이랑 독일이 왜 망한지 알아? 전선을 둘로나누었기 때문이야 정신차려
188,유전자검사했는데 불일치나오고 알고보니 애바뀌고 그러면 재밌겠다
189,"정오에 지은누나 뉴스를 봤다면서 미오랑 신나게 데이트하는 상남자 동태 ㅋㅋㅋㅋㅋ 발암커플 진짜 좋아해 줄 수가 없다. 뉴스 못봤더라도 은주랑 지은이 배틀했다는걸 알면 걱정하는게 정상 아니냐? 
지 첫사랑, 은인이 싸웠다는데? 그중 한명은 트라우마 도져서 뉴스에 얼굴까지 팔렸는데? 극발암 진짜"
190,와 씨 반절은 저번주 내용 다시보기고 반절은 절벽구경했네
191,반장이 왜 인벤토리를 씀 ㅡㅡ 더게이머 기술인데 제발 밸붕패치좀요 작가님..
192,홍재열 이새끼 그렇게 안봤는데 못이기겠으니까 망설임없이 총꺼내네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
193,저 마법이 분량도 부숴버리네
194,결제한 내가 틀렸어
195,래혁이형 벌써 뱃속에서만 몇주인거야.... 이미 소화되고 똥이 나와서 비료가 다시 싹을 틔우게할 시간이잖아... 슬슬 스토리 진행좀 해주라ㅜㅜ
196,아니 사귀기 싫대잖아 여러분 상대방이 싫다고 하면 작작하세요 저거 실제로 하지마시고;
197,i don't know  who you are. but i will find you and kill
198,사람 죽여서 경험치 오르면 거기 개판나겠구나
199,아무리 작아졌어도 그렇지 벽도아니고 사람몸에 저걸박냐
200,"사람들이 별점테러하는이유
1.네이버라는 큰회사가 이따위로 서버관리했기때문이다.(그깟쿠키200원이라는데 그걸 사고 보는 독자는 무시하는것같기때문.)
2.스토리가 점점 산으로 가고있다. 솔직히 라그나로크때 천계신 다이기고 사탄이랑 맞짱까서 이긴 절대신이 갑자기 성배하나땜에 너프먹고 어린이되고 겨우 자랐나싶더니 용포는 딘이 가져가고 여의는 반토막 삼신기는 부서지고..이건 쉴드칠래야 칠수가없다.
이게 작가탓이냐면서 쉴드 치는놈들아.. 이건 비난보다는 좀더 작가님이 나아지길를 바라는 피드백이야.. 솔직히 인정할건 인정하자^^"
201,"하나님... 기안이 갈수록 마감을 늦게 합니다. 초심으로 돌아가는 것을 막아주소서. 복학왕이 지각왕이 되지 않게 하소서. 더불어, 사람이 동물이 되지 않게 해 주시고, 복학왕처럼 현실적인 만화를 판타지물로 바꾸지 않도록 막아주소서. 아멘"
202,"저게 어떻게 자업자득이야;; 저런 말같지도않은 패널티가 있는줄 누가앎 도대체 ㅋㅋㅋㅋ 순수한 도전욕, 정복욕 자극해서 사람하나 골로보내고 '자업자득이군요 후★훗'  ㅋㅋㅋㅋ"
203,요즘은 이렇게 주인공 멍청하면 안봐요. 
204,"더게이머 보는법
1.더게이머가 올라오면 3분쯤 후에 들어와서 별점을 확인한다.
2. 별점이 6점대면 오늘은 어짜피 설명밖에 없을테니 건너뛴다
3. 7점대면 그래도 정이있으니 들어와서 댓글이나 보고간다
4. 8점대 이상이면 오랜만에 스토리가 좀 풀리거나 분량이 많은경우이니 앞으로 이런분량 안나올거라고 생각하며 재밌게 본다.
5. 9점대이상은 최근에 본적이 없는것같다"
205,피드백이랑 욕의 차이점은 아셔야하는거아닌가
206,얼마나 많이 깟으면 이렇게까지 공식적으로 얘기하냐 ㄷㄷ
207,내가 오수였으면 좀 소름돋을듯 주변인들이 나 모르게 날 위한답시고 서로 싸우고 그러고있음
208,저렇게 생겼는데 여자들이 날파리처럼 꼬여?
209,이분은 웹툰작가가 아니라 유튜브 크리에이터를 하고싶으신가보네요.
210,작가님이 생각해두신 인물관계의 끝을 도저히알수가없네요 보배라는 캐릭터와 민호라는 캐릭터 그리고 지훈이까지 이 세 캐릭터를 지나치게 희생시키면서까지 오수를 감싸시려는거같은데 독자입장에서는 도저히 오수를 이제 좋게볼수가없어요...ㅠㅜ어떻게든 잘 마무리지어주실거라고 믿고 쿠키굽습니다 더운날씨 힘내세요!!
211,테이ㅋㅋㅋㅋ 본인 몫을 다이크한테 가져다 준 게 아니라 본인꺼는 본인이 먹고 다른 사람 몫을 다이크한테 가져다준거네ㅋㅋㅋㅋㅋ 인성ㅋㅋㅋㅋ
212,두치 한 번도 진 적 없다 했음
213,반장은 미끼로 쓰면안되요??
214,문 열었는데 냄새 안 나나...
215,"저번주내용:완전사기캐아냐?
이번주내용:완전사기캐아냐?
다음주내용:완전사기캐아냐?"
216,발암커플이 항암커플됨
217,"너무 끌고,너무 짧고.."
218,요즘초딩들 놀토모름
219,너무 현실적인 반응이다...
220,솔직히 뭐하자는 건지 모르겠어요
221,기안이 뭐했는데 댓글이 다 이모양이야
222,다들 진모리 데려와라 말씀들이 많으신데...애초에 작가님 생각이라는게 있잖아요 5부후기에서도 말했고...그리고 지금 막장이 아니에요 작품 초기부터 구상하셨던 그림이고 이 만화의 주인공은 모리에요 모리는 당연히 나오죠...다만 기다리는 시간이 있을뿐...좀 기다려주세요 작가님도 고생하시고 계세요
223,그냥 타임포즈 키고 멈춰 있는동안 잡으면 되잖아 그래서 최강 아니였나?? 엑스를 몰아붙이 동태가 겨우 저런애들한테 진다고?? ㅋㅋㅋㅋㅋㅋㅋ 벨런스 개엉망이내
224,"싸움의 결과는?
한대위(좋아요) vs박일표(싫어요)"
225,아람이 쟤 고등학생 지능 맞냐? 지적수준이 너무 떨어지는데
226,"""어라 오늘은 왜 이렇게 컷이 많지?"" 하고 스크롤을 보는 순간 끝이 났다.
이거 ㄹㅇ임 베댓좀"
227,"롯 : 한판 붙어봅시다!!
퍼버벅
롯 : 주...중지..중지!!"
228,여주 친구는 진짜 왜저러고 여주는 왜저러지..? 저 구두를 굳이 신었어야했나? 집에 신발이 저거밖에 업나 ?
229,작가님 제발 소원인데 반장좀 없애주면 안되요?? 진짜 웹툰 보기 싫어집니다....
230,이 장면 하나로 그동안 끌어온 시간들 전부 보상받았다
231,"농담이 아니라 동태가 미오랑만 엮이면 만화가 너무나도 진부해진다. 이번에도 미오 손잡고 뛰어가는 반응 너무 진부함... 동태미오로 진행되면 만화가 3류가 됨
주인공커플이 나오면 재미가 없는데 어떻게 부활할 수 있을지 걱정 그래도 응원함"
232,저건 미오를 다시이쁘게만들기위한 수작일뿐이다 동태나쁜색히
233,존나 설명만하네
234,"음.. 분명 스토리는 개판인데, 왜 결제중이지
결제가 언멈추네, 이게 중독인가"
235,"모두의 기대를 능가하지 못했다고? 
그냥 니가 돌대가리라고말해;"
236,솔직히 반응이 저래야지;;
237,"민호야 악의없이 칭찬으로 한 말이겠지만 지훈이라면 분명 오수야 요즘 밥은 잘 먹고 있어? 부쩍 수척해보인다 라고 말했을거임... 민호는 원래의 오수에게 전혀 관심이 없기때문에 저런말을 하는건데 .... 오수는 저런 말들이 정말로 좋은건가? 오수가 하는 행동들은 민호를 좋아해서 나오는게 아니라 그냥 본인의 자격지심이 만들어낸 집착임... 오수야 제발 그만해 .. 너를 위해서라도
"
