,high_comment_False
199,마지막 말실수 한것 같은데? 자기가 두사람 책임진다니 그거 자존심 엄청 긁는말이야ㅠㅠ그리고 그런말 함부로 하면 큰일난다 거지들 다 붙는 말인데ㅠㅠ
200,왜 다들 반성문 3장이 억울하냐고 그러는거지...? 누가봐도 피해자인데 낮은 계급이라는 이유로 차별받은건데 난 오히려 다들 별거 아니라 여기는 반성문이 저 상황에서 얼마나 서러울까 라는 생각들어서 슬퍼졌는데...
201,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ알아서 자중하거랔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
202,경.환.좋.아
203,다시 보면서 확실하게 느끼는건데 백씨 남매 너무 무례해ㅋㅋㅋ
204,아빠가 달래죽이고 나비만 도망쳐서 제로게임 온거야?  엄청 불쌍하다........
205,호적은 여자라 영장 안나오잖아옄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
206,참고로 다연이 반에 온 계미연 친구들 유솔 박소현 연애혁명에서 곽보경한테 붙어먹고 왕자림 뒷담깐 무리입니다. 역시 유유상종이라더니 끼리끼리 노네.
207,란이 말할때 보이는 옆모습이 여전히 아이같아서 슬프네요ㅜ
208,번데기 극혐하는 사람으로서 저걸 먹어주다니 유정 빼박트루럽임
209,심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅심쿠웅
210,구조 하든 못하든 존나 쳐맞긴하겠네
211,뜬금없지만 여기 미연시 게임 부서는 없나..? 대리님이랑 치트랑 퍼블리 미연시버전 보고싶어요ㅜㅜㅜㅜㅜ
212,와..철수 개불쌍하네..지금 저기 삼촌들 다 미화되어 보이는거였구나..'학대'인데 우리가 그 몇년 사이에 과거를 생각못하고 그냥 저 삼촌 재밌게 봤다는것에 철수에 대해여 죄책감이 든다..미안해 철수야..파이팅
213,"하 아저씨들 왜 그렇게 고수에서 흥분하시나 했더니
속으로 욕했던일 사죄드리옵니다..."
214,비룡 진짜 영물이네 정체가 뭐임?
215,"이게 밝혀진다면 사실 수빈이한테 타격이 제일 큼.. 영재도 당연히 비난받겠지만 얼굴때문에 대중앞에 나서기 어려웠던 상황, 그리고 작품에서도 드러나는 어두운 성격같은건 독자들이 참작을 해줄 여지가 많음 혹여 논란에 연재중단까지 가도 웹툰에 데뷔까지 한 영재의 성실함과 실력은 어디 안감 최악의 상황이라면 정체 숨기고 글작가로만 활동해도 됨 반면에 수빈이는 얼굴이 팔린 상황이라 사회에서 매장당할거고 일가친척들도 다 알게되겠지.... 애초에 시상식때 수빈이가 자신을 위해서라도 영재를 떠밀었어야했다 ㅠㅠ"
216,핵간지
217,"원중 작가가 진짜 현자네 
확인되지 않은 의문은 묻어두지 않고 
피곤한 일에 엮이기 전에 손절하는 통찰력.. "
218,여러분 사실 댕댕이는 냥냥이한테 저렇게 다짜고짜 공격적으로 행동하지 않습니다 아마 근본적인 원한이 있는 찍찍국 왕자는 아닐른지요
219,불안하다 바름이 중요한 기회 버렸는데 저러다 뭔일 나서 재현이가 약속 취소하고 그러는 게 아닐까 아니 그럼 안 되는데
220,또 왜 또 뭐 또 또
221,솔직히 진짜 이무기 입장에서는 빡치지. 강유는 빨리 마음을 다잡은 케이스이나 이무기는 사랑하는 사람에게 다가가지 못하게 했던 벽을 허물고 지금까지 겪어왔던것들을 안겪을 수 있게될뻔했는데 성공직전에 혜태가 다 망쳐놓고 그렇다고 혜태는 잘못한게 없고 오히려 정당한 벌을 내린거고 일단 모든 원흉이 우암에게 있다는것과 이무기는 여태까지 우암이 자기한테 보였던 태도로 보아 아마 강유를 이용한다는 생각이 마음속 깊이 뿌리까지 담겨있었는데 안그래도 불행한 강유를 이런식으로 이용하고 거짓말을 하고 자기는 눈앞에서 우암이 사기친것 때문에 다시 다잃었는데 나같으면 눈돌아갈듯
222,근데 체르타 엄청 지쳐보인다 맨날 피곤에 쩔어있긴 했는데 오늘은 아예 피곤에 잠긴느낌...? 텐이 16년전 사건 다시 받아오라는것 때문에 신경이라도 쓰이는건가
223,너무아무렇지않게얘기하는것도 충격이네
224,팀장님 예전에 자살해서 부정적인 수치가 100에서 멈춰있나보네....
225,귀순이? 이러다가 속 좋아지는거 뭔데 ㅋㅋㅋㅋㅋㅋ 귀비수콘이냐 ㅋㅋㅋㅋ
226,"눈에 상처난 아저씨가  감독님과 연관있는 거아냐?
솔까  표정도 안좋더라"
227,아니 저 무차별적인 공격에 공은 엄청 멀쩡하잖아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ돼지오줌보가 저리도 질긴 소재였나요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
228,어머니ㅋㅋㅋㅋㅋㅋㅋㅋ 네 어버지 보면 모르냐. 돈 쉽게 벌려고 할 수록 쉽게 망하는 법. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 갑자기 말로 뼈 때리기ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
229,정미라는 사람은 흡혈귀도 아닌데 왜 호선이 납치한지 궁금하네
230,ㅋㅋ근데 설이는 프사 상메 다 안해놨을거같음
231,뉘집자식인지 부모얼굴 보고싶다니ㅋㅋㅋㅋㅋ눈 앞에 있어 히아센....
232,그 스토커네 미친 ㅡㅡ 무이야 니네집에 모르는 물건이 있는데 왜 아무렇지 않는거야 ㅠㅠㅠ
233,같이 있어줘요 항상 이라고 적어줘 한나야
234,다가려도 역시 될놈될이죠 캐스팅일듯ㅋㅋ
235,찬드라 극혐하는 라일라ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그동안 라일라 마음으로 자와자와했는데 결국 더러워도 신이라서 맞춰준 걸로 결론남ㅋㅋㅋㅋ 찬드라 그동안 혼자 북치고 장구치고했네 통찰로 못보긴 뭘 못봐 모른척한거면서ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
236,그러니까 해수는.... 의현이 저렇게 힘들어했던 기억을 걸고 넘어졌다는 거네.... 
237,예체능이겠지 뭔갑자기 전학ㅋㅋㅋ
238,오늘 컷배치 구도 진심 지린다ㅠㅠ 웹툰보는데 무슨 영화한편 보는 기분...
239,"이 만화는 다르다 
보통 적당히 패는데 이건 진짜 존 나패ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
240,"유정 선배 가슴팍이 얼마나 단단하면...햐,,"
241,회장 이거 공적으로만 꼰대가 아니라 사적으로도 꼰대네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
242,헐... 미친.... 야.... 윤봉원!!!!!!!!! 직진남!!!!!!!!!! 
243,양도운 진짜 개무섭네ㅋㅋㅋㄱㅋㅋ홍련 지근거리에 있는 사람들은 싹다 자기 가문사람이나 줄 대고 있는 사람들로 채울 셈인듯ㅋㅋㄱㄱ오로지 '홍련'이라는 사람한테 왕으로서나 인간 대 인간으로서 가장 가까이?할 수 있는 사람은 백한뿐인듯..
244,마스터 전 부인은 그냥 바가지 긁는 아줌만줄 알았는데 커리어 우먼이었군
245,왜 산딸기 먹는것마저 불안하냐
246,"아, 아닛! 저저 흑백그림에서도 보이는 반짝이는 붉은 빛! 금화경이로구만! 이야... 붉은 빛이 없었으면 못 알아 볼 뻔했네"
247,세포들은 언제봐도 핵졸귀ㅋㅋ
248,아니라고 해줘....사실 린다도 엘사처럼 왹져랑 서로 공생하는데 죽을까봐 연기하는 거라고 해줘...... 
249,뭐야뭐야 사망플래그로 가지마ㅠㅠ
250,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 응큼이 혀좀 놀리나봐
251,학교애들 자연스럽게 유정한테 뜯어내는 거 내가 다 짜증난다.. 지들이 사는 것도 아니면서 카페가자 회식하자 족보달라 평소에는 군말 없이 해줬는데 이제는 안 통하니까 달라졌다고 수군거리는 거 정말 ㅋㅋ
252,호모포비아는 병이에요 안타까워라 꼭 치료받으시길 :)
253,중2병 걸린 할배
254,진짜 한마디한마디 주옥 같네^^
255,ㅋㅋㅋㅋ단아 존옠ㅋ
256,왜 아무도 물건도 아닌데 실례라고 말하는 다정이는 칭찬 안해주나요 ...
257,역대급 서브남주의 역대급 퇴장.
258,뭔가 젤먼저 눈치챌거같은 아저씨다
259,4호 찌통표정 뭐에요 ㅠㅠㅠㅠㅠㅠㅠ2호랑 막 그런사이였나 ㅠㅠ짝사랑..? 아니 악마는 그런거 못느낀다며 ㅠㅠ 왜그런표정 지어 ㅠㅠ
260,설이애비 설이 그냥 내놓은자식 취급하더니 이제와서 애비노릇하려고하네 ㄹㅇ 꼴볼견...
261,나랑 같다고 생각해서 혼자 친밀감 느꼈다가 아니라는 걸 알고 혼자 실망하고... 정이랑 설이랑 서로 같은 마음인데도 각자 소외된 느낌을 받다가 우연한 '틈'을 놓치지 않는 한쪽의 행동력으로 인연이 되어가는 게 인상적이네요ㅠㅠ 너네 쌍방덕질이야... 파워 쌍방럽이라고!!!!!
262,루머로 뒷담하는 남자새끼들 개싫다
263,다시 정주행하면서 유정관점에서보면 쎄하다기보다는 좀안쓰러움.. 주변사람들한테서 지칠대로지쳐있던 유정이 자기스스로 여자친구라고 이제서야 말할수있는 사람이 생긴거니까ㅠ
264,"와... 313 정말 갑자기 저렇게 정색때리는거 진짜 소름돋는다
이번화까지 보고나서 느낀거지만 '감정을가진악마나천사' 랑 대부분의 '감정을가지지않는악마나천사'의 차이가 명확하게 보려지는거 같음..."
265,중열이나오는거에여?ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
266,춘배한테 왜그러냐 강이지놈아
267,마지막 여성분은 염라가 아닌 옥황입니다.
268,"'성가실때도있지'라고 한거...히아가 안들었으면

설마 들은건 아니겠지..?ㄷ.."
269,웅이 회사 망한거네 ㅠㅠㅠ
270,양갈래 풀떼기 선생 의외네
271,바름이 업어 유연아 빨리
272,아닠ㅋㅋㅋㅋㅋㅋㅋ호선이 그래도 서른이에요 여러분...ㅋㅋㅋㅋ 그래서 우리 애기 뚁땽해? 어구오구 이경누나없으면 어뜨케 올라구 그래써ㅠㅠㅠㅠ
273,그래 니네 다 오해였다고...제발 좀 풀어라ㅠ
274,학원에서 남자들 싸불싸불 거리는 거 너무 불쾌함 그 자체..
275,둘이 사귀는데 초치지마라 이년아
276,갑분싸
277,뭔가 추이 불쌍?함..우린어디서사냐고할때 좀 불쌍했음ㅠ
278,아니..  책을 13만원주고 지난달에 샀는데 ㅠ  왜 이러고 있지????
279,그래 얘들아 이렇게 얼굴을 활용할 줄 알아야지 이 오빠좀 봐봐 얼굴 활용 제대로지?
280,인호도 뭔가 ㅋㅋㅋ단순 뽀뽀 때문이 아니라 묘하게 바뀐 둘 사이 분위기를 눈치채고 더 난리가 난 듯ㅋㅋㅋㅋㅋㅋㅋ
281,아영이도 햇갈려할정도면 말다했자
282,제임수 ㅋㅋ 미친 한자로 영어이름 만들었어 ㅋㅋ
283,아니 범태호 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 처음에 범태호 아닌 줄 알았네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
284,한나 예쁘긴 진짜 예쁘다...세상...전보다 훨씬 더 예뻐진거같아..
285,수지가 저러는게 이성적인 감정이라기보다는 걍 둘다 자기 친구였는데 서로 사귀면 자기랑 멀어질거라는 생각에 그랬을것깉은데.....
286,유정은 이미 남주연을 꿰뚫었다... 저 미소는 남주연에게 보란듯이 지은거겠지 유귀신..
287,밥 다 됐다고 나오면 하나도 안 되어있음ㅋㅋㅋㅋㅋ
288,어르신 이제 본인이 여우인걸 못 견디시는건가ㅠㅠㅠㅠㅠㅠ
289,와 좋은글을써도 여자장사라는이유로 이름을날릴수없다니
290,하난이 복지 좀 해주세요.... 하난이 다치는걸로 시작해서 다치는걸로 끝났어....
291,뭔일인지 알아내려는 가을이의 빅픽쳐
292,목지란 입술 파랑색으로 변했어ㅋㅋㄱㅋㅋㅋ
293,ㅁㅊ;;;;; 병원까지 쫓아온거임? 진짜 개소름이다
294,부서지기싫으면  말들으라며;;;ㅋ 걍부셔버리네  왜물어봄??
295,현실에도 비슷한 사람 많잖아요 왜 그 전에 서울권 초등학교에선 임대아파트에서 사는 사람들 왕따로 만들어서 기사난 것도 있고 어느 중학교 학생 별명이 기생수라서 왜인가 했더니 만화 기생수가 아니라 기초생활수급자의 준말이라고 하고..
296,그래서 기일제가 싫었구나.. 자기 친모가 아닌 자신 친모 죽인 사람 기일이라
297,제발 이무기만큼은 해피엔딩으로 끝나게 해주세요 제발 제발제발제발제발제발제발제발제발제발제발제발제발
298,애용이 슬리퍼도 신고나감
299,자면안돼.....과제잖아..... ㅠㅠㅠ 짤로 많이 썼었는데....
300,ㅋㅋㅋㅋㅋㅋㅋㅋ 쳐웃으면서 달려가는게 딱 변태 ㅅㅋ랰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
301,다정이한텐 친언니가 자신인척 살아간다는거 소름돋을듯
302,다홍아 무이는 좋아하는 애가 이미 있는 것  같아....포기해야 될 것 같아...
303,그러지마 유미야
304,유정이 혼잣말로 자긴 이상하지않다고 되네이는거 짠하다 ㅠㅠ 유정아빠가 자기자신이랑 자기아들인 유정이랑 닮았다고 생각해서인지 유정 말은 제대로 믿으려고도 이해하려고도 하지않고 독단적으로 생각하니까 유정 힘들듯 ㅠ
305,준이도 순진해 빠져가지고 ㅠ 누가봐도 다단계야 그거 ㅠㅠㅠㅠㅠㅠㅠ
306,으 상철선배는 걍 밉상이 아니라 쓰레기 맞음. 아영이가 싫다고 수차례 티냈는데도 직접 입밖으로 거절하기 전까지는 계속 찝적대겠다고 하고 남의 물건에 함부로 손대는거 하며 말도 진짜 개함부로 함. 
307,음 이제 보니 두 커플 다 똑같은 상황인데 널 위해서였다는 말에 주용이는 아무 말 못한 거고 설이는 용서 안 한 거네
308,진짜 자기 몸이나 관리잘하지 남의 몸에 오지게 관심많아요
309,와 ㅋㅋㅋㄱㅋㄱㄱㅋ말안끝낫다고 뛰어내리냨ㅋㅋㄱ근데멋지다
310,이게 2010년 연재 만화인데 이때도 심신미약 감형이 문제였는데 2019년인 오늘도 그대로 인거보니 국회의원들은 10년이 다 되어가도록 뭘 한걸까...
311,내가 손들뻔했네
312,오늘 화에선 호선이가 자신이 인간이었음을 한껏 의식하네요. 아무리 벽을 쌓아도 막히지않게 되나봐요. 봉원이가 호선이를 자꾸 인간들과 섞으려는건 호선이의 진짜 마음을 호선이보다도 잘알기때문인거같고. 자긴 호선이 다안다고 꿀렁대던게 진짜였던거야 ..
313,혹시라도 새이가 무슨 말 했냐고 물어보면 자연스럽게 웅이는 아무말도 안했다고 하게됨
314,정이 플러팅 안 먹혀서 충격받은 거 봐ㅋㅋㅋㅋㅋㅋㅋ
315,나이가많다고 다 어른이아닌거같습니다. 어르신들 어른 대접받고싶으시면 아랫사람들이 배울수있게 개념있는행동과말들을 하세요. 그래야 어른대접해드립니다. 진짜 개념없는분들 너무많으세요 왜그리들막무가내 나이를 똥꼬로드셨나 뇌필터가없으신가 자기가당하면 화날일일텐데 참 쯧쯧.. 추카피님 힘드셨겠어요..힘내세요 더 좋은집가실꺼예요..
316,누가 안 좋아하는데 손등에 키스하나요? 저건 누가봐도 끼부리는 건데요? 안 그래? 여름아? 그러니까 빨리 사겨ㅋㅋ 현기증나ㅠ
