,high_comment_True
203,그래서 둘이 언제부터 사귀고 있었어요 ? 왜 저한텐 아무도 안알려줬죠
204,은지같은 친구가 대학에서 다니기 딱 편한.. 말수 적은 편인데 성격 깔끔하고 뒤끝없고.. ㅠㅠ
205,수바르 날 죽여맨...
206,엄마야ㅜㅜㅠㅜㅜㅜㅜ 이무기 부끄러워 하는것 봐요ㅜㅠㅜㅜㅜㅜ 심부름 때문에 대충 편의점 가는데 짝사랑 상대 만난 사람이잖아ㅜㅜㅜㅜㅜㅜㅜ 악 심장이 위험해ㅜㅜㅜㅜㅜㅜ 이무기 주식 삽니다... 대량으로 삽니다ㅜㅜㅠㅜㅜㅠㅠ
207,재구 사람 아니죠???ㅋㅋㅋㅋㅋ 근데 진짜 잘생긴 댕댕이다
208,보니까 미친개는 타이거디가 잡겠네
209,염색약이랑 탈색약이랑 착각해서 노란머리 된듯
210,인호가 가장 안쓰러운 남주인듯 오해도 못풀고
211,아니 털실이 ㅋㅋㅋㅋㅋ 이름 털실이야 귀여워 어떡해ㅠㅠㅠ 저도 털실이 분양받을 수 없나요ㅠ
212,주인공은 유미야 너야
213,자취로운 생활 볼 때마다 츄카피 너무 귀엽고 소소한 힐링이예요ㅎㅎ
214,미친 올때 메로나라고 했더니 딸기맛 메로나까지 가져왔엌ㅋㅋㅋ
215,"추국은 공과 사가 뚜렷한 인물입니다. 이는 10년 전 5왕자의 난(55화)이 있기 전부터 그랬는데 이청의 행동을 보면 하난보단 추국을 더 두려운 존재로 인식하는 걸 알 수 있습니다. 80화에 하난이 유호선의 행방을 묻자 '죽인다하셔도- 말하지 않을 생각입니다', '눈을 다치셨으니 궁으로 돌아가시지요'라고 하나 추국의 '시간 낭비 하지 말자'는 말 한 마디로 떠날 채비를 하죠. 어머니께 인사를 드리고 떠나려는 건 어쩜 자신이 죽을지도 모른다고 생각하기 때문입니다. 추국에게 사는 예술과 풍류, 시의 주인을 찾는 것, 하난(특2,33,37,57,71화)이 해당되며 공은 천명, 신룡의 명령(38화)등이 있습니다. 홍화에게 호의적인 것은 홍화가 찾던 시의 주인이며 추국이 추구하는 재능을 가진 사람인것과 사적인 일을 할 때 만났기 때문이나 공적인 일이 될 때는 다릅니다. 그렇기 때문에 이청도 하난보단 추국을 두려워 한 것이며, 신룡도 추국을 믿지 못하지만 높게 사는 이유입니다(3,64화)"
216,이무기도 좋고 우암도 좋아서 둘 중 누구를 해야 할지 모르겠는데 작가님이 공평하게 둘 다 그려주셨구나. 이건 액이 아니라 횡재인디?!!
217,뒤에서 설아 설아 하면서 쫓아가는 유정 너무 귀엽고 이어폰을 빼야지 하면서 웃는 모습이 해당 컷에 나온 뒷배경의 나무들보다 오백배 더 싱그럽고 태양빛보다 오천배 더 환하네요...
218,와.. 오늘 여러번 치이네요... 란이랑 쥬우비 케미 터져서 한번 치이고 란이랑 히아 관계 들통 날까봐 두번 치이고 오랜만에 건우봐서 세번 치이고 히아 윗몸일으키기 꼼수 썼다는 말에 네번 치이고 마지막에 히아 박력 터져서 다섯번 치임미다...
219,두뇌는 그곳을 제어할 수 없으니까 방희 아빠는 박성기 제어할 수 없는거고 ㄷㄷㄷㄷ
220,새이 100퍼온다
221,아니그나저나 ㅠㅠㅠㅠ 유일이 밥값 돌아와서 다행이야 ㅠㅠㅠ흡..뜹......ㅠㅠㅠㅠㅠ
222,대학 다니면서 저런 감정 많이느낌
223,춘배야ㅠㅠ 드디어 레벨업했구나ㅠㅠ
224,한나가 악마한테 침대에서  기대는 장면 정말...사랑스럽네요
225,아저씨 산업재해 당해서 다리 저는거 아닐까.. 공장 사람들이 가해자인 느낌
226,낚시가 두가지 뜻이 있는데 모두 성립했엌ㅋㅋㅋㅋㅋㅋ
227,유정이랑 설이 데이트 하면 몬 저런 대화를 하지 수삭 차석 커플 장난 아니다
228,아크메이지 젊은시절 모습이 오히려 더 늙어보여 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그리고 검성이 운동하는 모습 멋짐. 그냥 멋짐
229,안경 사이로 비치는 눈 보일때부터 알아봤어 너. 잘생겼다 서브합격.
230,"근데 패치 대리 쟤가 여자인거  알고 있을거 같다
내용 진행한 후에 여자인거 고백하면 
?알고있었는데 남장이 취미인가 했지 
라고 할거 같음 저 쿨한 대리"
231,"천웅방에어 처음 무리를 이끌고온 대장급으로 보이는 인물은 천잔왕 구휘라 부르고 두번째온 장로는 별칭없이 구휘라 부르고
마지막에 온 대장로는 구련주라 부르는데 전 이런 미세한 차이에도 작가님의 연출에 작은 감동을 느낍니다... 살아온 시간만큼 그리고 구휘를 겪고 경험한 시간만큼 그에대한 인식과 태도도 다르다는걸 보여주니까요... 부연하자면 첫번째 대장은 구휘가 천잔왕이라는 위명을 얻은후 소문으로만 접하다가 천웅방과의 악연이 생긴 사건정도에서 실제 맞닥뜨렸을 가능성이 높고 장로는 구휘의 신출내기 시절부터 여러번 엮였을 가능성이 큽니다. 대장로의 경우는 정파사파의 구분과 구휘와의 악연과는 별개로 그의 무공성취와 한집단의 수장 으로서의 위치를 존중하는 마음도 있는 괜히 대장로까지 오른게 아닌 인물이라 할 수있겠지요"
232,여러분 고수가 12월 말에 돌아온다고 합니다! 조금만 더 기다립시다
233,아니 저희 장르 비타민에게 채찍질이라니 다음주에 그 상판 좀 뵙시다
234,소스윗한데 염라 염라 넌 네꼬얌
235,난 언니냐 물어보려 가는 줄 알았는데 그림 알려달라고ㅋㅋㅋㅋㅋ 다정이 노빠꾸인생 하긴 언니가 죽은 줄만 알 텐데..
236,오늘도 유연파는 조용히 손을 들어주세요.
237,"어릴적에 이 장면을 볼 때는 나는 인하가 잘못된건줄 알고 진짜 꽃뱀이 맞는 줄 알았지 ㅋㅋ... 지금 와서 생각해보면 저 남자는 인하를 물질, 돈으로 사려 했던거고, 애정한톨도 주지 않고 자기 맘대로 휘두르며 자기 체면 높이는 용도로 곁에 두려한건데.. 그래놓고 여자가 뜻대로 안 움직이니까 폭력을 휘두르고.. 너무 현실 고증 쩔어.."
238,"홍준 누나,매형,여친한테 다까발려짐ㅋㅋㅋㅋ 흑역사 ㅠㅠ ㅅㄱ ㅋㅋ"
239,"홍련이가 사랑을 못 받고 자란 탓인지 처음으로 자신에게 따듯하게 대해준 도운에게 집착하는 것 같다 앞으로,, 넘 기대됨,..ㅜㅜㅠㅜㅜ"
240,"남의 개가 더 귀여워 보이는법
                      -댕댕이주인들-"
241,니 선물 고르는 거라고ㅠㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋ
242,존댓말 아는 애였엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ매력터진다 진짜
243,"자 설명해드림.  일단저 꼬마가준나뭇가지가 컨티뉴가 자른 가벼운 우드임 그리고 우드가작동되지않았던이유는  우드가 다채워지지않아서 그래서 용사가 나무작대기를집어넣어서 완성. 결국100스테이지로가게됨.
끝.  짧고쉽게모바일로몰폰중썼다."
244,이와중에 경환이 이다영한테 너도 무임승차래ㅋㅋㅋㅋ 레알 사이다ㅋㅋㅋ
245,20분거리 집까지 똥참고 겨우겨우와서 쾌변하는듯한 시원함
246,와우.. 여유가 있어지니까 암주의 저 초반의 능글능글한 빌런미가 나오기 시작하네요... ㅋㅋㅋㅋ암주하고 홍화의 조합도 기대가 됩니다..
247,처음이자 마지막.. 마지막
248,텐은사랑입니다
249,와 다음화... 다음화가 시급하다.... 본격적인 흑장미의 질투!!!!!!! 견우야 가자!!!!!!!!
250,은별아! 너도 앞으로 나아가고 있어
251,여러분 걱정마세요 저건 단순한 부부싸움을 의미하는 것이니까요.
252,나무 큐대에서 쇠큐대로 진화..!
253,난 진짜 설이 3학년 되고 아무렇지 않게 설아~^^ 밥 먹을래~? 한 유정도 대단하다고 생각... 나였으면 말 절대 못 걸었음
254,"하리가 진짜로 선택할 수 있는 건 1년이 지난 후 악마 경매상이 '소원'을 들어줄 때이려나요... 1화에서 하리가 인생을 파는 대신 경매상 소원을 하나 들어준다고 했으니까요 어쩌면 일이 잘 안 풀릴 때 하리의 유일한 선택이 될 수도 있는 그 소원이 판을 뒤집을 수 있는 열쇠가 되지 않을까요?
아니 그보다 작가님 하리 행복해질 수 있는 거 맞죠? 제발ㅠㅠ 하리가 자기 인생에서 선택할 수 있는 게 많아졌으면 좋겠어요... 행복해지게 해주세요...ㅠㅠㅠㅠㅠㅠ"
255,뭔가 둘이 또 친해질 것 같은 이 복선은 뭐죠? ㅠㅠ 좋습니다
256,"일반적으로 무림과 황실은 서로에게 간섭하지 않기때문에 황실의 일인 ""전쟁""이 무림만화에서 이토록 본격적으로 그려지는일이 흔하지 않은 걸로 압니다. 더군다나 주인공은 여전히 같은 상태에서 완전히 다른 장르를 즐길 수 있는 것도 용비불패를 보는 맛 중 하나였죠. 심지어 그 작화가가 문정후님이라면 더더욱 호사가 아닐 수 없습니다!"
257,저도 모르게 눈물이 나올 것같았네요ㅠ 뜨개방 할머님의 말씀에 저까지 위로받아서 그런가봐요
258,준이 진짜 얼굴은 넘 취향인데 설이 동생이라 그런지 묘하게 더 철없어보이는 면이있어서ㅋㅋㅋㅋㅋㅋㅋㅠㅜㅜ
259,정이가 화내는 게 단순이 친했던 형이 동성애를 하고 있어서가 아니라 망가져있어서라고 이해하는 게 맞음 안타깝잖아 자기 눈에 허조교가 좋게 보일 리도 없고 형이 저렇게 망가져가는데 누가 좋다 하고 있어
260,깜장이 귀여워 미치겠네ㅋㅋㅋㅋ
261,"이번 기회로 륭구도 전생의 미련을 버리고 
어머니에 대한 죄책감을 털어버릴 수 있었으면....
어머니께 선물로 새 아기도 생겨서 행복하게 살았으면 ㅠㅠ.."
262,정말 이런 만화를 돈안내고 볼수있는거에 항상 감사한다 분량 너무지린다
263,산군도 어렸을때 아픈상처가 있었는데 그것 때문에 강해진듯 아마 추이가 종족 멸족시킨것 같은데 그런거 다필요없고 산군어릴때랑 이랑사 졸귀인듯 ㄷㄷ
264,아 진짜 너무 귀여우ㅜ어어어어
265,빠르하고 무케 나중에 말싸움 많이할듯 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
266,천사가 말한 인연이 준원선배 맞는 거 같아요 집이 텅텅 빈 것도 한나한테 자취방이야기 했었잖아요 모든게 들어맞는거같은데!..
267,이런 퀄리티를 여태껏 숨기신고야..?
268,ㅋㅋㅋ 귀여워 뭘 꼬나보녜 ㅋㅋ
269,동아리선배 유연이각입니다 각각각
270,란 존나 섹시함.... 저사람이 애아빠라니....큽ㅠㅠ
271,와 학점 다 채웠는데 계절이라니 트루럽이다
272,산군 눈보니깐 산군보고싶다.....빠르가 약하단건 아니지만 빠르가 아닌 산군이 더 쌘건 맞는듯....빠르는 정신지배쪽에 강하지만 영응왕빼곤 정신지배가 통하지 않는다 했으니...
273,어딜가나 채공선 딸이라고 불리네 우리 정년이 채공선 딸 말고 대배우 윤정년이라고 불릴 때 까지 강정을 강정강정 구워야지....
274,은택이 부담스럽지않게 보라한테 살짝 티냈네 ㅠㅠ 보라가 거절해도 깔끔하게 넘어가주고 상철이같은 외않만나줘충과는 차원이 다름
275,네이버에서 제일 가는 판타지...
276,도치경 롤랑이를 '고 녀석'으로 생각하고 있었어 ㅋㅋㅋㅋ 역시 도치경 눈에도 귀여워보이는 롤랑이..
277,오늘 전투씬 연출도 진짜 오지고 편지 내용에 눈물나네요ㅜㅜㅜㅜㅜㅜㅜ작가님 만화 그려주셔서 감사합니다ㅠㅠㅠㅠㅠㅠㅠㅠ
278,돈 안내구 시켜먹은 줄 알구 바로 가겠다고 하는거 너무 설레자너 아니 근데 평소에 홍시를 어떻게 생각했길래 바로 그런발상이 나와 ㅋㅋㅋㅋㅋㅋㅋ
279,자 모두들 제가 처음부터 밀던 이무기파로 오시죠
280,감성세포 표정=내 표정
281,난 달팽이 쫓는 것도 정이의 인간적인 모습같았는데ㅠㅠㅠㅠ 왜 그냥 자기가 발 굴렀을 때 달팽이가 더 빠르게 움직이나 싶어서 쿵쿵 해본거같지 않나요ㅠㅠㅠㅠㅠㅠㅠ 귀여움 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
282,근데 공유일이 책 소개하는 대목 약간 복선같은데..ㅋㅋ
283,아닠ㅋㅋㅋㅋㅋㄱㅋ다정이 사고회로 보소ㅋㅋㅋㅋ  그와중에 정당방위로 팰생각하고 있네ㅋㅋㅋㅋㅋㅋㅋ
284,"목숨을 내놓는 것 보다 어려운, '살아야 하는 것'의 무게가 용비의 입에서 흘러나오는 장면은 정말 가슴아픈 장면이네요."
285,소수의 인간보단 다수의 좀비를 선택한단 저 현명함... 사랑합니다
286,와 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 갓유미ㅋㅋㅋㅋㅋ 이말 전에 새이가 루비한테 했던말이에옼ㅋㅋㅋㅋㅋㅋ
287,족보 교환 아직 안하지않았나?? 하기로 한 날 설이가 놓고왔다고해서 은지가 자기 족보만 일단 설이 줬었음.. 쨌든 유정족보인줄알고 엉뚱한거 쌔빈건 맞는듯ㅋㅋㅋㅋ 으휴
288,이와중에 뽈뽈 쫓아가다가 포즈취하는 다홍이 나만 귀여워?
289,염치는 염치가 있는 사람ㅋㅋㅋㅋㅋㅋㅋ ㅋㅋ
290,"능력있고 순수하고 자신을 따르는 남성
책임감 가지고 열정적이고 자상한 여성
너무 이상적이다... 이커플"
291,"다시 정주행하고 있는데 베댓이 되어있네요.
추천해주신 모든분들께 감사드립니다.ㅎㅎ

애들아! 아빠 베댓먹었어
학교가서 자랑해"
292,막상 입은 게 헐렁하니까 설레는구나~?ㅎㅎㅎㅎㅎ
293,사빈 당신얼굴진짜짱이야
294,아ㅠㅠㅠㅠ 팀장님 영혼이 또 이렇게 쓰이다니 아악 연출과 전개 너무 좋아서 저는 눈물만 나네요 작가님... 다음편이 너무 기대돼요... 그나저나 정미 당신... 영생을 노린 거였다니 실망이야 순진한 흡혈귀들의 마음을 이용하고 아무 관련 없는 호선이를 위험하게 만들고 당신이 진짜 나빴어 이 마음의 숙제들 다 당신이 주고 간 거네 못됐어 정말 어휴
295,아아 존댓말 우암에 한번 흐트러진 이무기에게 또 한번 치인다
296,할머니 립스틱지우심ㅋㅋ
297,옷 갈아입게 해주면서 좀 가까워지길.. 윤주는 싫지만 현이의 행복을 위해서
298,와중에 유정선배 설이한테 답장 오타난 거 귀여움ㅠ
299,와 바비정도면 분명 알고 그랫다 진짜 저런센스...완전좋음 내가가지고싶다
300,"마크가 대단한 힐러네요 
검성이도 검 잘다루고 
아크메이지할아버지는 마법잘쓰고
체니는....."
301,역시 실망시키지 않네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
302,그와중에 산삼 말하는거봐 ㅋㄱㅋㄱㅋㄱㅋ 도망가래 ㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱ
303,봉원씨가 호선이를 뱀파이어로 만든게 맞고 그게 사실은 호선이가 죽기 직전에 물어서 살리기 위한 게 아니었을까? ㅠㅠㅠ
304,심장 쏴서 죽여놓고 머리쏜대 ㄷㄷ
305,엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나중에 어글리후드인거 알아도 시다바리행일듯
306,정이가 아빠가 아니라 엄마랑 같이 자랐으면 어땠을까
307,구휘 표정개그는 진짜 시대를 앞서나갔음 ㅋㅋㅋ
308,와 공모전 심사의 허점까지 짚을줄이야...출품하는 사람들은 나의 자존심을 걸고 그림을 내놓지만 채점하는 사람은 빨리 끝내고 밥먹고 집가고싶을 뿐...
309,유미가 반햇던 이유 jpg.
310,옷에 뭐 묻었다가 그런의미였는지 그때는몰랐지 성인이된 지금은 누구보다 잘알고있다!!!!!!!!!
311,저 도사는 요괴들이 지배하는 세상을 만든다더니 막상 보니까 그냥 지려버리네
312,"장점 : 다 보인다
단점 : 다 보인다"
313,칭찬해달라는 저 미소는 뭐야ㅠㅠㅠㅠㅠ
314,인호 달려갈때 우는것바ㅜㅜㅜㅜ
315,성은이도 정말 매력적인 캐릭터였던...에피소드마다 나오는 단말성 캐릭터들마저도 입체감넘치고 매력있어서 참 좋아했어요 얄미운구석이 있더래도 결국 내 주변에서 언젠가 한번 볼법한 사람들이란게 치인트가 좋은작품인 이유 중 하나인거같아요!
316,"""모 아니면 도겠지만 내가 도일리는 없잖아"" 올해 최고의 띵언 ㅇㅈ"
317,"이 스토리를 보니 인간이었을적 우암이 강유와 똑같이 대흉액출신이었던것 같네요. 액으로 인해 자신은 죽지 않고 주변인만 죽어나갔던 것도 ""내가 지킬 수 있다면"" 이라는 대사도 지금까지 해치기만 했으니 이제는 지키겠다 라고 말하는것 같고요.

어디까지나 개인적인 추리입니다..."
318,부모님이고 아들이고 머리카락으로 감정표현하는건 유전인가봄ㅋㅋㅋㅋㅋㅋ
319,"댓글 한번 달아보자면 당시 유정은 독자들에게 온전히 들어나지 않은 미궁속의 캐릭터였고, 유정에대한 확신이 부족했던 사람들은 상대적으로 더 휘둘리고 있는 백인호에게 감정이입이 되었었음 ㅋㅋㅋ완결이 난 지금은 유정이 어떤 인물인지 거의 다 아니까 그런것도 있는듯 ㅋㅋㅋ"
320,우리네 아버지 대학교수 어머니 초등학교 교감 오빠 외과 레지던트인데...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
321,화자 머리묶은거 나만 이쁜ㄱㅏ?? 너무 이쁜데 ?????
322,유정 마음 너무 이해된다.... 저렇게 귀여운데 안 웃고 배기겠냐 진짜 설아...
323,전체관람가에 할만큼 하셨다 증말 ㅋㅋㅋㅋㅋ 순끼님 노고에 감사..
324,"지동생이 어려보인다고 골목불러놓고 
화내는거 대충 봐놓곤 울면 끝이야??? 울면 이기는건가"
325,"역시 귀신보다 무서운 서울 집값.................
귀신은 막내가 해치워주지만 내 가난은 내가 해결해야하는 현실ㅠㅠ"
